	Пазначаем асіміляцыйную мяккасьць гукаў перад мяккімі галоснымі і перад 'ь'.																															
	Мяккасць распаўсюджваецца ад "мяккіх" галосных і ад мяккага знаку ўлева																															
	Мяккія галосныя: j е ё і ю я																															
	мяккасць не перакрочвае мяжу слова: "лёс Ігара", "лёс вядомы"																															
																																
																																
																																
																																
	Спалучэнні гукаў. Першы гук - радок, другі - слупок. Як нв=D29																															
																																
Cross	а	б	в	β	г	ґ	д	э	дж	дз	ж	з	і	к	л	м	ɱ	н	о	п	р	с	т	у	ў	ф	х	ц	ч	ш	ы	j
	4 - ніколі не бывае мяккі ы, ў												не сварыцца, калі няправільная камбінацыя - хя																			
	5 - гкх не змякчаецца перад зычнымі												?																			
	6 - не змякчаецца, бо толькі перад апострафам												камбінацыі спалучэнняў зычных																			
	7 - 																															
																																
																																
	* - мяккасць перакрочвае мяжу																															
																																
	Памылкі:																															
		постякабі́нскі																														
		постельцынскі																														
																																
																																
		пяшчо́тейшным																														
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
Прыклады																																
		найямчэйшы						падваенне j ?																								
		байёскі																														
		апгрэйдзь																														
		йеменскі																														
		еменскі																														
		йаркшыр																														
		дуайенаў																														
		аддзьмуўся						які працэс на сутыку прыстаўкі і кораня ? - спрашчэнне ? як атрымліваецца дз: ?																								
		горад дзякаваў																														
		гораддзяржстрах																														
